OrderNumber,Provider,EventTime,Status,SourceCity,SourceCountry,SourceLat,SourceLong,DestinationName,DestinationStreet,DestinationCity,DestinationZip,DestinationCountry,DestinationLat,DestinationLong,ShippingContents,WeightKg,FailureNote,Meta_CancelReason,Meta_RerouteCount,Meta_DowntimeHours,Meta_DelayHours
f5254849-9414-44d4-ba0a-3d2d3ecb65b9,DPD,2025-05-06T12:31:24.909982Z,Dispatched,Berlin,Germany,52.52,13.405,Kirk Hendrix,Main St 58,Brussels,61282,Belgium,50.8503,4.3517,"[{""category"": ""Colours"", ""name"": ""Berlin Classic"", ""size"": ""38"", ""qty"": 2}, {""category"": ""Altars"", ""name"": ""Stockholm Modern"", ""size"": ""36"", ""qty"": 2}, {""category"": ""Altars"", ""name"": ""Vivid Runner"", ""size"": ""44"", ""qty"": 1}]",4.63,,,,,
f5254849-9414-44d4-ba0a-3d2d3ecb65b9,DPD,2025-05-12T13:51:20.358554Z,PickedUp,Berlin,Germany,52.52,13.405,Kirk Hendrix,Main St 58,Brussels,61282,Belgium,50.8503,4.3517,"[{""category"": ""Colours"", ""name"": ""Berlin Classic"", ""size"": ""38"", ""qty"": 2}, {""category"": ""Altars"", ""name"": ""Stockholm Modern"", ""size"": ""36"", ""qty"": 2}, {""category"": ""Altars"", ""name"": ""Vivid Runner"", ""size"": ""44"", ""qty"": 1}]",4.63,,,,,
f5254849-9414-44d4-ba0a-3d2d3ecb65b9,DPD,2025-05-15T18:44:30.122719Z,Routing,Berlin,Germany,52.52,13.405,Kirk Hendrix,Main St 58,Brussels,61282,Belgium,50.8503,4.3517,"[{""category"": ""Colours"", ""name"": ""Berlin Classic"", ""size"": ""38"", ""qty"": 2}, {""category"": ""Altars"", ""name"": ""Stockholm Modern"", ""size"": ""36"", ""qty"": 2}, {""category"": ""Altars"", ""name"": ""Vivid Runner"", ""size"": ""44"", ""qty"": 1}]",4.63,,,,,
f5254849-9414-44d4-ba0a-3d2d3ecb65b9,DPD,2025-05-18T03:03:50.273359Z,Delivered,Berlin,Germany,52.52,13.405,Kirk Hendrix,Main St 58,Brussels,61282,Belgium,50.8503,4.3517,"[{""category"": ""Colours"", ""name"": ""Berlin Classic"", ""size"": ""38"", ""qty"": 2}, {""category"": ""Altars"", ""name"": ""Stockholm Modern"", ""size"": ""36"", ""qty"": 2}, {""category"": ""Altars"", ""name"": ""Vivid Runner"", ""size"": ""44"", ""qty"": 1}]",4.63,,,,,
8435891f-5119-45d8-8f66-e698812ea144,DPD,2025-05-06T09:29:04.519669Z,Dispatched,Stockholm,Sweden,59.3293,18.0686,Larry Aguilar,High St 41,Brussels,22334,Belgium,50.8503,4.3517,"[{""category"": ""GenZ Pros"", ""name"": ""Tallinn Kids"", ""size"": ""42"", ""qty"": 1}, {""category"": ""Altars"", ""name"": ""Vivid Runner"", ""size"": ""44"", ""qty"": 1}]",1.6,,,,,
8435891f-5119-45d8-8f66-e698812ea144,DPD,2025-05-10T16:40:51.656356Z,PickedUp,Stockholm,Sweden,59.3293,18.0686,Larry Aguilar,High St 41,Brussels,22334,Belgium,50.8503,4.3517,"[{""category"": ""GenZ Pros"", ""name"": ""Tallinn Kids"", ""size"": ""42"", ""qty"": 1}, {""category"": ""Altars"", ""name"": ""Vivid Runner"", ""size"": ""44"", ""qty"": 1}]",1.6,,,,,
8435891f-5119-45d8-8f66-e698812ea144,DPD,2025-05-16T17:50:13.481866Z,Routing,Stockholm,Sweden,59.3293,18.0686,Larry Aguilar,High St 41,Brussels,22334,Belgium,50.8503,4.3517,"[{""category"": ""GenZ Pros"", ""name"": ""Tallinn Kids"", ""size"": ""42"", ""qty"": 1}, {""category"": ""Altars"", ""name"": ""Vivid Runner"", ""size"": ""44"", ""qty"": 1}]",1.6,,,,,
8435891f-5119-45d8-8f66-e698812ea144,DPD,2025-05-17T11:54:32.066318Z,Delivered,Stockholm,Sweden,59.3293,18.0686,Larry Aguilar,High St 41,Brussels,22334,Belgium,50.8503,4.3517,"[{""category"": ""GenZ Pros"", ""name"": ""Tallinn Kids"", ""size"": ""42"", ""qty"": 1}, {""category"": ""Altars"", ""name"": ""Vivid Runner"", ""size"": ""44"", ""qty"": 1}]",1.6,,,,,
defa794a-3427-46f8-967e-056540a9b396,DPD,2025-05-14T17:35:30.763187Z,Dispatched,Tallinn,Estonia,59.437,24.7536,Autumn Matthews,High St 134,Prague,33416,Czech Republic,50.0755,14.4378,"[{""category"": ""Kids"", ""name"": ""Sunshine Yellow"", ""size"": ""36"", ""qty"": 2}, {""category"": ""Kids"", ""name"": ""Rainbow Dream"", ""size"": ""44"", ""qty"": 2}]",3.43,,,,,
defa794a-3427-46f8-967e-056540a9b396,DPD,2025-05-18T08:41:27.766595Z,PickedUp,Tallinn,Estonia,59.437,24.7536,Autumn Matthews,High St 134,Prague,33416,Czech Republic,50.0755,14.4378,"[{""category"": ""Kids"", ""name"": ""Sunshine Yellow"", ""size"": ""36"", ""qty"": 2}, {""category"": ""Kids"", ""name"": ""Rainbow Dream"", ""size"": ""44"", ""qty"": 2}]",3.43,,,,,
